,Scores,Metric,Model
0,0.9431251639989504,AUC,Coated
1,0.955488494907582,AUC,Coated
2,0.9496949212062684,AUC,Coated
3,0.9600881057268722,AUC,Coated
4,0.9531713900134953,AUC,Coated
5,0.976506344839826,AUC,Coated
6,0.9478083453994998,AUC,Coated
7,0.9344193262411348,AUC,Coated
8,0.9611028383195704,AUC,Coated
9,0.9497917421224195,AUC,Coated
10,0.8867469879518073,F1,Coated
11,0.8967391304347826,F1,Coated
12,0.9002433090024331,F1,Coated
13,0.8911392405063291,F1,Coated
14,0.8693181818181819,F1,Coated
15,0.9250645994832042,F1,Coated
16,0.8872901678657074,F1,Coated
17,0.8759894459102903,F1,Coated
18,0.8784530386740331,F1,Coated
19,0.8538681948424068,F1,Coated
20,0.8901869158878505,Accuracy,Coated
21,0.9112149532710281,Accuracy,Coated
22,0.9039812646370023,Accuracy,Coated
23,0.8992974238875878,Accuracy,Coated
24,0.892271662763466,Accuracy,Coated
25,0.9320843091334895,Accuracy,Coated
26,0.8899297423887588,Accuracy,Coated
27,0.8899297423887588,Accuracy,Coated
28,0.8969555035128806,Accuracy,Coated
29,0.8805620608899297,Accuracy,Coated
30,0.8932038834951457,Recall,Coated
31,0.8823529411764706,Recall,Coated
32,0.8851674641148325,Recall,Coated
33,0.88,Recall,Coated
34,0.85,Recall,Coated
35,0.93717277486911,Recall,Coated
36,0.8685446009389671,Recall,Coated
37,0.8645833333333334,Recall,Coated
38,0.8932584269662921,Recall,Coated
39,0.8465909090909091,Recall,Coated
40,0.8803827751196173,Precision,Coated
41,0.9116022099447514,Precision,Coated
42,0.9158415841584159,Precision,Coated
43,0.9025641025641026,Precision,Coated
44,0.8895348837209303,Precision,Coated
45,0.9132653061224489,Precision,Coated
46,0.9068627450980392,Precision,Coated
47,0.8877005347593583,Precision,Coated
48,0.8641304347826086,Precision,Coated
49,0.861271676300578,Precision,Coated
50,0.976791639650635,AUC,Bare
51,0.9812598780763152,AUC,Bare
52,0.9755616942909762,AUC,Bare
53,0.9809798807749628,AUC,Bare
54,0.989737765024709,AUC,Bare
55,0.9792417260159195,AUC,Bare
56,0.9862857142857143,AUC,Bare
57,0.9859265665539743,AUC,Bare
58,0.9810297568574865,AUC,Bare
59,0.9877938517179023,AUC,Bare
60,0.8862275449101796,F1,Bare
61,0.9194029850746268,F1,Bare
62,0.8979591836734694,F1,Bare
63,0.9054441260744984,F1,Bare
64,0.9381107491856677,F1,Bare
65,0.8913043478260869,F1,Bare
66,0.9239766081871345,F1,Bare
67,0.910828025477707,F1,Bare
68,0.8938906752411576,F1,Bare
69,0.9120521172638436,F1,Bare
70,0.920997920997921,Accuracy,Bare
71,0.9438669438669439,Accuracy,Bare
72,0.9272349272349273,Accuracy,Bare
73,0.9313929313929314,Accuracy,Bare
74,0.9604989604989606,Accuracy,Bare
75,0.9376299376299376,Accuracy,Bare
76,0.9458333333333333,Accuracy,Bare
77,0.9416666666666667,Accuracy,Bare
78,0.93125,Accuracy,Bare
79,0.94375,Accuracy,Bare
80,0.8862275449101796,Recall,Bare
81,0.8953488372093024,Recall,Bare
82,0.850828729281768,Recall,Bare
83,0.8977272727272727,Recall,Bare
84,0.9411764705882353,Recall,Bare
85,0.8785714285714286,Recall,Bare
86,0.9028571428571428,Recall,Bare
87,0.9050632911392406,Recall,Bare
88,0.8853503184713376,Recall,Bare
89,0.8860759493670886,Recall,Bare
90,0.8862275449101796,Precision,Bare
91,0.9447852760736196,Precision,Bare
92,0.9506172839506173,Precision,Bare
93,0.9132947976878613,Precision,Bare
94,0.935064935064935,Precision,Bare
95,0.9044117647058824,Precision,Bare
96,0.9461077844311377,Precision,Bare
97,0.9166666666666666,Precision,Bare
98,0.9025974025974026,Precision,Bare
99,0.9395973154362416,Precision,Bare
